n, pagefaults, writebacks 
1, 14298, 7505
2, 14276, 7504
3, 14258, 7504
4, 14258, 7504
5, 14264, 7504
6, 14265, 7504
7, 14262, 7504
8, 14258, 7504
9, 14261, 7504
10, 14257, 7506
11, 14257, 7499
12, 14283, 7503
13, 14302, 7498
14, 14302, 7500
15, 14307, 7503
16, 14317, 7505
17, 14331, 7500
18, 14299, 7501
19, 14287, 7504
20, 14277, 7503
21, 14269, 7499
22, 14254, 7503
23, 14304, 7501
24, 14298, 7503
25, 14290, 7500
26, 14272, 7501
27, 14270, 7502
28, 14286, 7499
29, 14298, 7500
30, 14293, 7504
31, 14309, 7501
32, 14292, 7503