#frames, pagefaults, writebacks 
1, 15013, 7513
2, 14984, 7513
3, 14951, 7513
4, 14913, 7513
5, 14889, 7512
6, 14857, 7512
7, 14827, 7512
8, 14794, 7511
9, 14764, 7510
10, 14733, 7510
11, 14703, 7509
12, 14662, 7509
13, 14638, 7509
14, 14612, 7509
15, 14581, 7508
16, 14552, 7508
17, 14518, 7507
18, 14495, 7506
19, 14462, 7506
20, 14431, 7505
21, 14396, 7505
22, 14372, 7504
23, 14350, 7504
24, 14315, 7504
25, 14281, 7504
26, 14249, 7504
27, 14216, 7503
28, 14179, 7503
29, 14148, 7503
30, 14125, 7502
31, 14092, 7502
32, 14068, 7502
33, 14037, 7501
34, 14010, 7500
35, 13987, 7500
36, 13957, 7499
37, 13929, 7498
38, 13906, 7497
39, 13864, 7497
40, 13836, 7496
41, 13808, 7495
42, 13773, 7494
43, 13739, 7493
44, 13710, 7493
45, 13690, 7492
46, 13661, 7492
47, 13635, 7492
48, 13605, 7491
49, 13578, 7491
50, 13551, 7491
51, 13529, 7491
52, 13501, 7490
53, 13470, 7490
54, 13423, 7490
55, 13400, 7490
56, 13373, 7490
57, 13345, 7490
58, 13315, 7490
59, 13294, 7489
60, 13259, 7489
61, 13230, 7488
62, 13197, 7487
63, 13166, 7486
64, 13123, 7485
65, 13094, 7485
66, 13062, 7484
67, 13026, 7483
68, 13008, 7483
69, 12980, 7483
70, 12952, 7482
71, 12929, 7481
72, 12892, 7480
73, 12861, 7480
74, 12830, 7480
75, 12799, 7480
76, 12762, 7480
77, 12736, 7479
78, 12712, 7478
79, 12681, 7477
80, 12649, 7476
81, 12625, 7474
82, 12597, 7473
83, 12573, 7472
84, 12534, 7473
85, 12503, 7473
86, 12479, 7473
87, 12444, 7473
88, 12413, 7471
89, 12381, 7471
90, 12344, 7470
91, 12328, 7470
92, 12300, 7470
93, 12275, 7470
94, 12250, 7469
95, 12228, 7468
96, 12191, 7468
97, 12163, 7468
98, 12112, 7469
99, 12089, 7468
100, 12061, 7467