#frames, pagefaults, writebacks
1, 15013, 7513
2, 14504, 7513
3, 14236, 7512
4, 14054, 7512
5, 13850, 7512
6, 13701, 7511
7, 13551, 7510
8, 13329, 7511
9, 13259, 7509
10, 13152, 7509
11, 13098, 7510
12, 12976, 7508
13, 12867, 7508
14, 12751, 7505
15, 12483, 7509
16, 12402, 7507
17, 12126, 7507
18, 12204, 7506
19, 12200, 7505
20, 12088, 7503
21, 11991, 7503
22, 12116, 7506
23, 11748, 7505
24, 11663, 7504
25, 11849, 7504
26, 11472, 7504
27, 11575, 7503
28, 11450, 7501
29, 11406, 7500
30, 11554, 7501
31, 11171, 7499
32, 11365, 7502
33, 11213, 7497
34, 10981, 7502
35, 10934, 7499
36, 11018, 7497
37, 10767, 7496
38, 10753, 7496
39, 10807, 7500
40, 10669, 7497
41, 10507, 7494
42, 10656, 7492
43, 10482, 7495
44, 10804, 7495
45, 10625, 7495
46, 10353, 7497
47, 10211, 7491
48, 10141, 7492
49, 10520, 7494
50, 10264, 7494
51, 10332, 7493
52, 10206, 7485
53, 10324, 7492
54, 10253, 7494
55, 9923, 7489
56, 10152, 7488
57, 10206, 7487
58, 9587, 7488
59, 9574, 7482
60, 9750, 7488
61, 9859, 7485
62, 9883, 7489
63, 9490, 7485
64, 9641, 7491
65, 9783, 7484
66, 9349, 7484
67, 9515, 7485
68, 9330, 7486
69, 9385, 7485
70, 9378, 7488
71, 9130, 7476
72, 8899, 7476
73, 9031, 7479
74, 8887, 7480
75, 9012, 7481
76, 9349, 7476
77, 8825, 7479
78, 9050, 7483
79, 9074, 7482
80, 8905, 7482
81, 8976, 7483
82, 8578, 7474
83, 8636, 7474
84, 8279, 7477
85, 8517, 7479
86, 8422, 7472
87, 8512, 7474
88, 8492, 7478
89, 8549, 7472
90, 8440, 7474
91, 8096, 7472
92, 8360, 7465
93, 8109, 7466
94, 8477, 7466
95, 8226, 7465
96, 7968, 7462
97, 8148, 7471
98, 7994, 7462
99, 8143, 7469
100, 8368, 7471